month,sora3m,hdb
2023-06,3.6549,2.6000
2023-07,3.6748,2.6000
2023-08,3.6964,2.6000
2023-09,3.7017,2.6000
2023-10,3.7527,2.6000
2023-11,3.7464,2.6000
2023-12,3.7018,2.6000
2024-01,3.6548,2.6000
2024-02,3.6488,2.6000
2024-03,3.6829,2.6000
2024-04,3.6491,2.6000
2024-05,3.6597,2.6000
2024-06,3.6336,2.6000
2024-07,3.6381,2.6000
2024-08,3.5694,2.6000
2024-09,3.4932,2.6000
2024-10,3.3769,2.6000
2024-11,3.2147,2.6000
2024-12,3.0346,2.6000
2025-01,2.8993,2.6000
2025-02,2.7291,2.6000
2025-03,2.5507,2.6000
2025-04,2.3587,2.6000
2025-05,2.2692,2.6000
2025-06,2.0533,2.6000
2025-07,1.8450,2.6000
2025-08,1.5638,2.6000
2025-09,1.4532,2.6000
2025-10,1.3203,2.6000
2025-11,1.2530,2.6000
2025-12,1.1857,2.6000
2026-01,1.1502,2.6000
2026-02,1.1219,2.6000
2026-03,1.0708,2.6000
2026-04,1.0298,2.6000
2026-05,1.0564,2.6000
2026-06,1.0825,2.6000
2026-07,1.1354,2.6000
