Dollar,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
10th,1399,1383,1300,1250,1300,1300,1320,1400,1500,1500,1600,1736,1800,1826,1950,2000,2000,2000,2028,2082,2028,2100,2400,2500,2500,2779
20th,2000,2000,2000,1986,2000,2000,2041,2166,2482,2491,2600,2861,3029,3051,3250,3400,3490,3500,3539,3597,3500,3600,3973,4166,4354,4628
30th,2624,2658,2578,2600,2630,2732,2805,3000,3399,3358,3560,3953,4208,4301,4558,4771,4875,4982,4996,5050,4979,5065,5460,5936,6106,6501
40th,3263,3364,3250,3257,3329,3500,3570,3903,4363,4333,4580,5026,5393,5562,5925,6106,6215,6400,6492,6612,6445,6700,7090,7734,8000,8498
50th (Median),4000,4141,4038,4050,4106,4345,4495,4883,5475,5398,5704,6286,6712,7000,7400,7624,7791,7956,8169,8333,8092,8421,8904,9646,9999,10591
60th,4883,5100,5000,5000,5040,5366,5492,6013,6840,6649,7021,7700,8235,8658,9067,9388,9524,9784,10000,10229,10000,10388,10980,11850,12192,12993
70th,5997,6337,6166,6128,6303,6655,6798,7479,8461,8303,8725,9529,10219,10663,11157,11582,11730,12171,12384,12620,12446,12916,13708,14672,15196,16075
80th,7583,8125,7899,7910,8018,8513,8766,9682,10787,10675,11189,12328,13045,13539,14234,14775,14935,15537,15799,16225,15965,16372,17605,18699,19281,20312
90th,10596,11488,10939,11181,11400,12065,12500,13790,15763,15066,16057,17485,18439,19211,20249,21041,20934,21721,22300,22816,22550,22513,24473,25722,26666,27672
