year,log_coef,se,index,ci_low,ci_high,raw_median,raw_index,n,base_year
2013,0,0,100,100,100,456000,100,6163,2013
2014,-0.06458396308,0.001568425015,93.74573992,93.45799742,94.03436833,424000,92.98245614,6331,2013
2015,-0.1038420112,0.001563497909,90.13676921,89.86097186,90.41341303,402888,88.35263158,7139,2013
2016,-0.1039408004,0.001552752008,90.12786511,89.85398749,90.40257753,405000,88.81578947,8048,2013
2017,-0.1144670051,0.001578861769,89.18413641,88.90857653,89.46055035,408000,89.47368421,8604,2013
2018,-0.127695885,0.001629576946,88.01209964,87.73144001,88.29365712,400000,87.71929825,8768,2013
2019,-0.125037375,0.001640916384,88.24639198,87.9630302,88.53066658,400000,87.71929825,9228,2013
2020,-0.09597632831,0.00159432325,90.84855212,90.56510498,91.13288638,420000,92.10526316,9646,2013
2021,0.009266642152,0.00146790426,100.930971,100.6410007,101.2217769,470000,103.0701754,12344,2013
2022,0.1196733782,0.001436297268,112.7128647,112.3960081,113.0306145,515000,112.9385965,11307,2013
2023,0.1940771459,0.001426505356,121.4189949,121.0799876,121.7589514,550000,120.6140351,11357,2013
2024,0.2712057506,0.001441969431,131.1544894,130.784336,131.5256904,590000,129.3859649,11988,2013
2025,0.3405284468,0.001457643275,140.5690227,140.1679928,140.9711999,630000,138.1578947,10842,2013
