year,log_coef,se,index,ci_low,ci_high,raw_median,raw_index,n,base_year
2013,0,0,100,100,100,456000,100,6163,2013
2014,-0.06336985015,0.001594949738,93.85962695,93.56667038,94.15350077,424000,92.98245614,6331,2013
2015,-0.1009018755,0.001599376709,90.40217352,90.11922647,90.68600895,402888,88.35263158,7139,2013
2016,-0.1002374723,0.001580714797,90.46225697,90.18242044,90.74296184,405000,88.81578947,8048,2013
2017,-0.1103371649,0.001596688603,89.55321424,89.27339467,89.83391088,408000,89.47368421,8604,2013
2018,-0.1232310639,0.001637376264,88.40593648,88.12267384,88.69010964,400000,87.71929825,8768,2013
2019,-0.1203356307,0.001641005966,88.66228089,88.37756816,88.94791084,400000,87.71929825,9228,2013
2020,-0.09065433519,0.001595407977,91.33333635,91.04818311,91.61938266,420000,92.10526316,9646,2013
2021,0.01336888131,0.001477240715,101.3458644,101.0528528,101.6397256,470000,103.0701754,12344,2013
2022,0.1233213624,0.00145654884,113.1247903,112.8022982,113.4482044,515000,112.9385965,11307,2013
2023,0.1967453484,0.001450033451,121.743398,121.3978865,122.0898928,550000,120.6140351,11357,2013
2024,0.2726198817,0.001473835515,131.3400902,130.9612333,131.7200432,590000,129.3859649,11988,2013
2025,0.3392201966,0.001493696156,140.3852435,139.9748464,140.7968438,630000,138.1578947,10842,2013
